GeneralFeedbackID,Title,Content,Upvote,Rating,CreatedDate,UserID,ProductID,FeedbackDetailID
17849683,Cực kì hài lòng,,0,5,1664688204,15351195.0,190725476.0,1
13866029,Cực kì hài lòng,giao hàng nhanh. máy đã cài sẵn win 11. mà cài k tách ổ đĩa nên chỉ có 1 ổ C. máy tính chạy mượt. hàng mới có tem dán đầy đủ. shop nhiệt tình. săn được km nên giá còn 11.480k. về cài thêm office là ok. máy tốt nha các bạn. tiki gói hàng cẩn thận.,3,5,1639634864,785327.0,187188428.0,2
15639461,Hài lòng,"Giá bán trên tiki có vẻ cao. thấy chỗ khác máy mới bảo hành cũng chính hãng 12 tháng chỉ có 10m8. màn hình không đẹp, khởi động tiếng khá kêu dù máy mới chưa cài ứng dụng gì. được cái thiết kế mỏng nhẹ. pin HP thì cũng bình thường. bảo hành ở đây phải dùng hóa đơn mua hàng nên có vấn đề gì hơi bất tiện, còn tra serial máy thì chỉ còn 9 tháng bảo hành từ nhà sản xuất thôi ạ",1,3,1648439305,5682558.0,186984673.0,3
14351663,Cực kì hài lòng,"Giao hàng nhanh chóng, đóng gói rất cẩn thận, máy như mô tả, chưa có Microsoft Office, phải mua key cài thêm",0,5,1641738292,8743123.0,127377025.0,4
14031170,Cực kì hài lòng,"Tiki đóng gói rất cẩn thận, giao hàng nhanh, sp đẹp, còn chất lượng thì phải dùng mới biết được nè.",0,5,1640273255,7065961.0,155530449.0,5
13771653,Cực kì hài lòng,"Laptop đẹp, chạy windows 11, Tiki giao hàng nhanh chóng, đóng gói cẩn thận.",0,5,1639299905,1081277.0,151839086.0,6
16717202,Cực kì hài lòng,Shop giao hang nhu hinh. Chat luong san pham tot. Dong goi san pham chuyen nghiep. Thoi gian giao hang nhanh. Se ung ho lai.,0,5,1655266543,10433155.0,180396187.0,7
15335047,Cực kì hài lòng,"Máy trông cũng được, màn hình hơi to, nhưng cho các bé học online thì cũng ổn",1,5,1646821387,7742464.0,163871476.0,8
15237794,Cực kì hài lòng,Hàng đúng nhu mô tả!!! Tiếc là hết hàng! còn mình lấy thêm 5 con nữa!!!,0,5,1646296943,19646158.0,180396111.0,9
13905196,Cực kì hài lòng,"okokokokokokokokokokokokok sp rất ok, giá tốt",0,5,1639792916,13073524.0,135268243.0,10
15723122,Cực kì hài lòng,Máy chạy Windows 11 rất mượt. Phù hợp với học sinh và văn phòng.,0,5,1648819592,327809.0,189466548.0,11
15321209,Cực kì hài lòng,"Máy mạnh, nhẹ tay, màu đẹp",0,5,1646745827,22334178.0,161225920.0,12
15326511,Cực kì hài lòng,"Máy ổn, dành cho học trực tuyến hay cho sv thi quá tôt",0,5,1646792421,15426650.0,196907103.0,13
15508646,Cực kì hài lòng,Tiki hỗ trợ đổi trả rất uy tín,0,5,1647742429,13925311.0,191694005.0,14
14514858,Hài lòng,Đã nhận hàng mà chưa nhận được hóa đơn VAT,0,4,1642398281,14873369.0,136940990.0,15
14911345,Cực kì hài lòng,"Laptop dùng ok , giao hàng đúng hẹn",0,5,1644631641,22706152.0,169264166.0,16
13673878,Không hài lòng,Khi tắt máy tính thì không sạc được vậy shop,1,2,1638891246,23798068.0,189365717.0,17
15229134,Cực kì hài lòng,máy đẹp giao hàng nhanh,0,5,1646257679,7510973.0,164397018.0,18
16647199,Cực kì hài lòng,,0,5,1654763016,1673699.0,155530453.0,19
16476509,Cực kì hài lòng,,0,5,1653618904,8379514.0,186434417.0,20
15689576,Cực kì hài lòng,đủ dùng,0,5,1648688821,6887996.0,189696941.0,21
