GeneralFeedbackID,Title,Content,Upvote,Rating,CreatedDate,UserID,ProductID,FeedbackDetailID
19792205,Cực kì hài lòng,Hàng chuẩn,0,5,1709475366,16347277.0,189572223.0,1
19179222,Cực kì hài lòng,"Màn hình giao an toàn, chất lượng hinh ảnh ok, màu sắc ồn , giao hàng nhanh, đóng gói tốt.",0,5,1683696278,29002035.0,189572199.0,2
19591230,Cực kì hài lòng,"Giao hàng nhanh, chất lượng cao, màu sắc ổn.",0,5,1697357163,7819104.0,263753733.0,3
19370074,Cực kì hài lòng,,0,5,1689076201,1200141.0,273513557.0,4
19097557,Cực kì hài lòng,,0,5,1681630291,85465.0,272354928.0,5
19063111,Cực kì hài lòng,Ok,1,5,1680846107,13170474.0,272828018.0,6
18984424,Cực kì hài lòng,,0,5,1679285932,28937331.0,252566338.0,7
7997021,Cực kì hài lòng,,0,5,1614304662,1862313.0,252566514.0,8
15988315,Cực kì hài lòng,"màn hình xài tốt, không lỗi lầm. bữa mình đặt giao nhanh nên trong sáng đã giao. rất hài lòng",0,5,1650328625,494140.0,270958179.0,9
17687510,Cực kì hài lòng,,0,5,1663115015,11329509.0,273524532.0,10
17651506,Cực kì hài lòng,,0,5,1662790939,5256553.0,273513559.0,11
17637442,Hài lòng,,0,4,1662678507,10117439.0,222529881.0,12
15042669,Cực kì hài lòng,Màn hình dùng tốt trong tầm giá,0,5,1645282693,634641.0,225195503.0,13
15934240,Cực kì hài lòng,,0,5,1650006286,19674576.0,272828266.0,14
15143644,Cực kì hài lòng,,0,5,1645798214,22213167.0,225195387.0,15
14290381,Cực kì hài lòng,Tốt,1,5,1641462293,12756544.0,273698446.0,16
14297497,Cực kì hài lòng,"Good monitor for good price

Pros: High quality image, affordable, fast delivery, durable pieces, lightweight, packaged securely, easy to assemble, includes headphone port

Cons: short power cord, power controls are in the back and are difficult to reach. You probably need an extension power cable. 

Neutral: like many external monitors it has no speakers. You might need headphones. 

Overall: Good product for the price but you need external accessories to make full use of it.",3,5,1641489221,18165666.0,273472177.0,17
15960268,Cực kì hài lòng,Chất lượng rất ổn luôn nha. Lắp đặt và sử dụng đơn giản. Rất phù hợp cho các bạn làm văn phòng.,0,5,1650166794,195192.0,272177760.0,18
15369414,Cực kì hài lòng,"hàng full box, tiki now nên giao trong ngày, asus thì hàng ngon rồi không kém dell là mấy. Nói chung ổn với giá tiền",0,5,1647003907,10324282.0,274016468.0,19
14961122,Cực kì hài lòng,"Màn hình sắc nét, màu sắc chân thực nhưng có 1 điểm chết",0,5,1644852471,8189006.0,274368447.0,20
17805689,Cực kì hài lòng,"Đẹp, chất lượng, giao hàng nhanh",0,5,1664234620,1707042.0,273949286.0,21
15912960,Cực kì hài lòng,Sản phẩm rất ổn! Dùng đỡ mỏi mắt hẳn,0,5,1649898310,386797.0,273716533.0,22
17825369,Cực kì hài lòng,,0,5,1664426362,6564938.0,273472091.0,23
17309270,Cực kì hài lòng,,0,5,1659694752,750795.0,247656002.0,24
16933124,Hài lòng,ok good,0,4,1656904788,665220.0,272837816.0,25
16728550,Cực kì hài lòng,,0,5,1655351392,1297711.0,160445997.0,26
14235954,Hài lòng,màn đẹp nhưng giao hàng lâu,0,4,1641201522,1840590.0,272177964.0,27
16101372,Cực kì hài lòng,ok.,0,5,1650978822,11294967.0,247719163.0,28
16041599,Cực kì hài lòng,ok,0,5,1650614055,8328168.0,272178565.0,29
15701404,Cực kì hài lòng,,0,5,1648731347,27167282.0,274792349.0,30
15165354,Cực kì hài lòng,,0,5,1645932110,16662534.0,274935091.0,31
14792191,Cực kì hài lòng,,0,5,1644028204,6961773.0,274958665.0,32
14777894,Cực kì hài lòng,,0,5,1643807627,773340.0,274791956.0,33
13706009,Cực kì hài lòng,Sản phẩm ok,0,5,1639042031,12938416.0,274016489.0,34
14677286,Cực kì hài lòng,,0,5,1643073044,7706145.0,274934516.0,35
14024357,Cực kì hài lòng,,1,5,1640252538,512691.0,273506176.0,36
13856776,Cực kì hài lòng,,0,5,1639586793,25851208.0,274992907.0,37
19684714,Hài lòng,"Ship hơi lâu, màn đẹp",1,4,1702713214,17615250.0,274956099.0,38
19779903,Cực kì hài lòng,,0,5,1708661565,16009912.0,274643985.0,39
19603866,Hài lòng,,0,4,1697884159,29497573.0,158222541.0,40
15283941,Cực kì hài lòng,"Mình đã dùng được khoảng 2 tuần. Tiki giao hàng rất nhanh, giá cũng tốt. Mình dùng màn hình này làm màn hình phụ, đáp ứng tốt nhu cầu đọc nghiên cứu và làm việc văn phòng vì có thể arrange nhiều windows thoải mái. Về nhu cầu giải trí thì 7.5/10, với những video tối thì xem không thích lắm, và độ smooth màu không cao. Loa được nhưng không hay dùng làm. Có cái đế to, tốn diện tích một tí nhưng có vẻ chắc chắn hơn. Chênh lệch màu sắc giữa màn hình phụ và màn hình laptop tạm chấp nhận được vì mình chưa có yêu cầu nhiều và tự chỉnh thấy oải quá =)) Tấm nền IPS nên chấp nhận chuyện hở sáng thôi ạ",0,4,1646548875,2135189.0,263575487.0,41
